date,pred_dir,spx_close,daily_change_pct,real_dir_class,rsi,bb_width,atr,trend_ema9,vix_close,vix_mean
2025-10-08,UP,6753.72,0.44,UP,69.81,0.0309,48.19,ABOVE_EMA9,16.30,16.16
2025-10-07,UP,6714.59,-0.47,DOWN,66.03,0.0326,48.74,ABOVE_EMA9,17.24,16.15
2025-10-06,FLAT,6740.28,0.10,FLAT,71.48,0.0360,48.29,ABOVE_EMA9,16.37,16.04
2025-10-03,UP,6715.79,-0.09,FLAT,69.23,0.0381,49.41,ABOVE_EMA9,16.65,16.01
2025-10-02,UP,6715.35,-0.24,DOWN,69.19,0.0407,49.74,ABOVE_EMA9,16.63,15.94
2025-10-01,UP,6711.20,0.69,UP,68.83,0.0409,50.58,ABOVE_EMA9,16.29,15.88
2025-09-30,UP,6688.46,0.48,UP,66.87,0.0432,49.68,ABOVE_EMA9,16.28,15.83
2025-09-29,UP,6661.21,-0.01,FLAT,64.37,0.0471,49.64,ABOVE_EMA9,16.12,15.79
2025-09-26,UP,6643.70,0.43,UP,62.69,0.0482,50.87,ABOVE_EMA9,15.29,15.76
2025-09-25,UP,6604.72,-0.05,FLAT,58.66,0.0478,51.36,BELOW_EMA9,16.74,15.80
2025-09-24,UP,6637.97,-0.48,DOWN,64.14,0.0486,50.02,ABOVE_EMA9,16.18,15.71
2025-09-23,UP,6656.92,-0.53,DOWN,67.49,0.0486,49.96,ABOVE_EMA9,16.64,15.66
2025-09-22,UP,6693.75,0.59,UP,74.49,0.0481,49.65,ABOVE_EMA9,16.10,15.57
2025-09-19,UP,6664.36,0.26,UP,72.37,0.0436,49.56,ABOVE_EMA9,15.45,15.51
2025-09-18,UP,6631.96,0.08,FLAT,69.79,0.0437,50.18,ABOVE_EMA9,15.70,15.52
2025-09-17,DOWN,6600.35,-0.07,FLAT,67.00,0.0427,49.70,ABOVE_EMA9,15.72,15.50
2025-09-16,UP,6606.76,-0.26,DOWN,68.19,0.0417,47.89,ABOVE_EMA9,16.36,15.48
2025-09-15,UP,6615.28,0.18,FLAT,69.71,0.0386,49.50,ABOVE_EMA9,15.69,15.39
2025-09-12,UP,6584.29,-0.10,FLAT,67.24,0.0337,50.59,ABOVE_EMA9,14.76,15.36
2025-09-11,UP,6587.47,0.50,UP,67.77,0.0298,52.89,ABOVE_EMA9,14.71,15.42
2025-09-10,DOWN,6532.04,-0.28,DOWN,63.09,0.0244,52.28,ABOVE_EMA9,15.35,15.49
2025-09-09,UP,6512.61,0.14,FLAT,61.26,0.0223,52.96,ABOVE_EMA9,15.04,15.51
2025-09-08,UP,6495.15,-0.05,FLAT,59.59,0.0235,54.33,ABOVE_EMA9,15.11,15.55
